OID,Objektnamn,NO_Askeladden,Count,NAVN,askeladdenid,LokalitetsID,X,Y,LONG,LAT
246,Bakkane 11:24,145557,1,Vingen Bakkane 24,145557-24,145557,-8603.93082712,6893049.05284999,5.31828067891,61.8281607349999
247,Bakkane 11:28,145557,1,Vingen Bakkane 28,145557-28,145557,-8648.95977047999,6893007.18035,5.31755583254,61.8277302811999
248,Bakkane 11:3d,145557,1,Vingen Bakkane 3 (Kålrabisteinen),145557-3,145557,-8635.48624999999,6893015.50827,5.31778454344,61.8278219062
249,Bakkane 11:3c,145557,1,Vingen Bakkane 3 (Kålrabisteinen),145557-3,145557,-8635.48624999999,6893015.50827,5.31778454344,61.8278219062
250,Bakkane 11:3b,145557,1,Vingen Bakkane 3 (Kålrabisteinen),145557-3,145557,-8635.48624999999,6893015.50827,5.31778454344,61.8278219062
251,Bakkane 11:3a,145557,1,Vingen Bakkane 3 (Kålrabisteinen),145557-3,145557,-8635.48624999999,6893015.50827,5.31778454344,61.8278219062
252,Bakkane 11:3e,145557,1,Vingen Bakkane 3 (Kålrabisteinen),145557-3,145557,-8635.48624999999,6893015.50827,5.31778454344,61.8278219062
253,Bakkane 11:32,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
254,Bakkane 11:33,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
255,Bakkane 11:35,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
256,Bakkane 11:36,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
257,Bakkane 11:38,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
258,Bakkane 11:39,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
259,Bakkane 11:4c,145557,1,Vingen Bakkane 4 (Bakkesteinen),145557-4,145557,-8624.03519738,6893062.57839999,5.31786635672,61.8282536651
260,Bakkane 11:42,145557,1,Vingen Bakkane,145557,145557,-8638.57034008,6893037.85789999,5.31766391642,61.8280155711
261,Bakkane 11:5,145557,1,Vingen Bakkane 5,145557-5,145557,-8601.97999531999,6893059.84124999,5.31828682309,61.8282587969
262,Bakkane 11:6,145557,1,Vingen Bakkane 6,145557-6,145557,-8638.88118908999,6893053.8775,5.3176130067,61.8281569131
263,Bakkane 11:7,145557,1,Vingen Bakkane 7,145557-7,145557,-8640.03868782,6893051.89245,5.31759693186,61.8281378069999
264,Bakkane 11:9,145557,1,Vingen Bakkane 9,145557-9,145557,-8626.9606,6893019.55322,5.31793271294,61.8278690462
265,Urane 12:10c,146534,1,Vingen Urane 10,146534-10,146534,-8577.63325545,6893057.04824999,5.31875033304,61.8282664826
266,Urane 12:12c,146534,1,Vingen Urane 12,146534-12,146534,-8581.4868,6893033.43109999,5.3187446848,61.8280523681
267,Urane 12,146534,1,Vingen Urane 12,146534-12,146534,-8581.4868,6893033.43109999,5.3187446848,61.8280523681
268,Urane 12:13b,146534,1,Vingen Urane 13 Hellaren,146534-13,146534,-8578.82136136,6893029.44914999,5.31880577524,61.8280206792
269,Urane 12:13c,146534,1,Vingen Urane 13 Hellaren,146534-13,146534,-8578.82136136,6893029.44914999,5.31880577524,61.8280206792
270,Urane 12:14a,146534,1,Vingen Urane 14,146534-14,146534,-8572.707,6893036.37908,5.31890070072,61.8280901384
271,Urane 12:15,146534,1,"Vingen Urane 15, Bakkas stein øvst i Ura",146534-15,146534,-8562.61372902,6893024.26675,5.31912368417,61.8279963887
272,Urane 12:16,146534,1,"Vingen Urane 16, Bakkas Stein over hellaren",146534-16,146534,-8574.88766213,6893024.50595,5.31889330623,61.8279821719999
273,Urane 12:19,146534,1,Vingen Urane 19,146534-19,146534,-8592.57557296999,6893032.4193,5.31854000777,61.828028658
274,Urane 12:2a,146534,1,Vingen Urane 2,146534-2,146534,-8610.88014984999,6893023.42489999,5.3182227568,61.8279247071999
275,Urane 12:20a,146534,1,Vingen Urane 20,146534-20,146534,-8593.74145752,6893037.9934,5.31850249978,61.8280764312
276,Urane 12:24a,146534,1,Vingen Urane 24,146534-24,146534,-8584.03529388,6893037.07074999,5.31868674626,61.8280811835999
277,Urane 12:27b,146534,1,Vingen Urane 27,146534-27,146534,-8570.99024219999,6893066.87609999,5.31884699666,61.8283622888
278,Urane 12:29,146534,1,Vingen Urane 29,146534-29,146534,-8565.34124999999,6893062.16600999,5.31896597433,61.8283281269999
279,Urane 12:34,146534,1,Vingen Urane 34,146534-34,146534,-8543.52377875999,6893079.15369999,5.31932648022,61.8285074829
280,Urane 12:36a,146534,1,Vingen Urane 36,146534-36,146534,-8549.09905,6893061.00291,5.31927322149,61.8283394487
281,Urane 12:4a,146534,2,Vingen Urane 4,146534-4,146534,-8600.53214999999,6893051.65082999,5.31833697252,61.8281882474
282,Urane 12:4e,146534,1,Vingen Urane 4,146534-4,146534,-8600.53214999999,6893051.65082999,5.31833697252,61.8281882474
283,Urane 12:4d,146534,1,Vingen Urane 4,146534-4,146534,-8600.53214999999,6893051.65082999,5.31833697252,61.8281882474
284,Urane 12:42,146534,1,Vingen Urane 42,146534-42,146534,-8539.34497263,6893061.9275,5.31945316775,61.8283606099999
285,Urane 12:48,146534,1,Vingen Urane 48,146534-48,146534,-8580.49645,6893039.33592,5.31874659999,61.8281059373
286,Urane 12:5c,146534,1,Vingen Urane 5,146534-5,146534,-8597.50018816,6893055.20715,5.3183837058,61.828223752
287,Urane 12:58,146534,1,Vingen Urane 58,146534-58,146534,-8561.02730411,6893026.94864999,5.31914582602,61.8280222317999
288,Urane 12:64a,146534,1,Vingen Urane,146534,146534,-8572.16919075,6893047.68625,5.31887894218,61.8281909104
289,Urane 12:66a,146534,1,Vingen Urane,146534,146534,-8572.16919075,6893047.68625,5.31887894218,61.8281909104
290,Urane 12:71,146534,1,Vingen Urane,146534,146534,-8572.16919075,6893047.68625,5.31887894218,61.8281909104
291,Urane 12:72,146534,1,Vingen Urane,146534,146534,-8572.16919075,6893047.68625,5.31887894218,61.8281909104
292,Urane 12:74,146534,1,Vingen Urane,146534,146534,-8572.16919075,6893047.68625,5.31887894218,61.8281909104
293,Urane 12:8d,146534,4,Vingen Urane 8,146534-8,146534,-8582.46275255,6893048.5903,5.31868375422,61.8281852118999
294,Urane 12:8c,146534,1,Vingen Urane 8,146534-8,146534,-8582.46275255,6893048.5903,5.31868375422,61.8281852118999
295,Vingeneset 16:11b,146782,1,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
296,Vingeneset 16:12,146782,1,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
297,Vingeneset 16:14,146782,1,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
298,Vingeneset 16:15b,146782,1,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
299,Vingeneset 16:15a,146782,1,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
300,Vingeneset 16,146782,2,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
301,Vingeneset 16:10b,146782,2,Vingen Vingeneset,146782,146782,-9585.49359378,6893579.8999,5.29841458552,61.8315503641
